Beryll|+Beryll
MICROSDK|MICROS
TIGO Tanzania|MIC Tanzania Limited
MIG, Inc.|Minnesota IMPLAN Group, Inc
Milmega|MILMEGA
Mimos Berhard|MIMOS
MIPI Alliance|Mobile Industry Processor Interface
MIPS Computer Systems Inc.|MIPS Computer Systems
Malaysian International Shipping Corporation|MISC Berhad
MKS  SA|MKS Finance
MKS Inc.|MKS, a PTC Company
MK One|Mk One
MLC Limited|Mutual life and citizens
Marschollek, Lautenschlaeger und Partner|Marschollek, Lautenschlager und Partner AG
mLab|MLab
MMCS|MMCS Group
MMK Metallurgy|MMK-Atakas Metallurgy
MMMC Inc. Architects|MMMC Architects
Minerals and Metals Trading Corporation|Metals and Minerals Trading Corporation
MM Cohn|M. M. Cohn
Midlands News Association|MNA Media
MNC Corporation|Bhakti Investama
Meyers Norris Penny|MNP LLP
MODEC Inc.|MODEC
Mod Pizza|MOD Pizza
FGSZ|MOL Magyar Olaj- es Gazipari Rt.
Malto meal|Maltomeal
MONILINK|Monilink
MOS Rice Burger|Mos Food Services
History of M.O.S. Technologies|Mos technology
Micron Computers|MicronPC
MPEG Licensing Administration, LLC|MPEG-LA
MPH Group  Sdn Bhd|MPH Bookstore
MPI Media Group|MPI Home Video
Replica Studios|MPL Music Publishing
MPM BioVentures|MPM Capital
MPP Global Solutions|MPP Global
MP Bank|MP Investment Bank
MRCB|Malaysian Resources Corp Berhad
MRC For Medical Equipment Trading|MRC For Medical and Equipment Trading
MRC Global|MRC Global, Inc.
Madras Rubber Factory|Funskool
Midwest Research Institute|MRIGlobal
MRI Software|Management Reports International
MRS Logistica|MRS Logistica S.A.
Mass Rapid Transit Corporation Sdn Bhd|MRT Corp
MRV Communications Inc.|MRV Communications
MRV Engenharia e Participacoes SA|MRV Engenharia
MS&AD Insurance|MS&AD Insurance Group
MSCI World Index|Barra, Inc.
Mediterranean Shipping Cruises|Star Lauro
MSC Industrial Direct|Msc industrial supply
MacNeal-Schwendler Corporation|PATRAN
Msdsonline|MSDSonline
MSD Capitals|MSD Capital LP
MSN Internet Access|The Microsoft Network
MSPL Limited|MSPL
Mstelcom|MSTelcom
Mstar Semiconductor|MStar Semiconductors
MT Propeller|MT-Propeller
Triborough Bridge and Tunnel Authority|TBTA
MTC Namibia|Mobile Telecommunications Limited
Troy-Bilt|Bolens
Mike's Train House|MTH Electric Trains
Mti Consulting|MTI Consulting
MTL Trust Holdings|MTL Holdings
MTM Home Video|Dick Marino
MTN Swaziland|MTN Cote d'Ivoire
Irancell|MTN Irancell
Mass Transit Railway Corp|MTR Corporation Ltd.
Mobile Telesystems|MTS TeleSystem
Shyam Telelink|Sistema Shyam TeleServices Limited
Sistema Shyam TeleServices Ltd.|MTS MBlaze
MTS Systems Corp.|MTS Systems Corporation
MTS Turkmenistan|BCTI
MTU Munich|MTU Muenchen
Maybach MD650|MTU Friedrichshafen
MTV Channel  Ltd|Maharaja Television
Mitek|The jackhammer
MTY Food Group|MTY Group
Monberg & Thorsen|MT Hojgaard
MUFG Union Bank, N.A.|Union Bank of California, N.A.
MVA Asia|MVA
MVM Group|MVM Zrt.
MV Agusta|Mv agusta
M-Web|MWeb
MWH Global|MWH Global, Inc.
Motorenwerke Mannheim|MWM GmbH
MWM International Motores|MWM Motores Diesel Ltda
After Hours Formalwear|MW Tux
MXR Auto Phaser|Mxr
MX Energy|MX energy
MYC4 A/S|MyC4
MYLAPS Sports Timing|MYLAPS
NZA Gold|Myob Group
MZKT|Mwtp
MZ Motorenwerke Zschopau GmbH, former MZ Motorrad- und Zweiradwerk GmbH|MZ Motorrad- und Zweiradwerk
M and M Direct|M and m direct
MaXware UK Ltd.|Maxware Australia Pty Ltd
Ma Foi Strategic Consultants Pvt. Ltd|Ma Foi Strategic Consultants
MGBM|Maaden Gold and Bases Metal
Maanshan Iron & Steel Company|Maanshan Iron & Steel Company Limited
Maas Bros.|Maas brothers
Mabuchi|RS 540
Mabuhay Satellite Corporation|Mabuhay Investment Corporation
Macs Milk|Mac's Milk
MacAndrews & Forbes Holdings Inc.|MacAndrews and Forbes
MacDonald, Dettwiler and Associates|McDonald, Dettwiler and Associates
Macfarlan Smith|MacFarlan Smith
MacMillan Bloedel|Macblo
MacPlay|Macplay
MacSoft Games|Macsoft
MacFisheries|Mac Fisheries
Mac Guff Ligne|Mac Guff
Macao Dragon|Macao Dragon Company Limited
Macau water|Macao Water
Macau.com|Gomacau.com
Macau Computer Emergency Response Team Coordination Centre|MOCERT
Macabee Haifa|Maccabi Haifa
Mace Group|Mace Group Ltd
Mace Security International, Inc.|Mace Security International
Palisene|Macerich Company
Macfarlane Group|Macfarlane Group PLC
Machine-to-Machine Intelligence  Corp.|M2Mi
Machine Games|MachineGames
Machine Shop Ventures|Machine Shop co.
Inside Gaming Awards|Machinima Inc.
Mack Group|Mack technologies
Mack Rides GmbH|Mack GmbH
Mack Dm690s|Mack Trucks, Inc.
Mackenzie Investments|Mackenzie Financial
Mackeson Stout|Mackeson's Brewery
Macintosh raincoat|Mackintosh
Maclays|Maclay Murray & Spens LLP
Macmahon holdings Ltd|Macmahon Holdings Ltd
Michael Macmillan|Macmillan Media
MACO|Maconomy
Macpac Ltd|Macpac Outdoors
Macquarie Group|Macquarie Group, Ltd.
International-Matex Tank Terminals|Hawai'i Gas
Macquarie Media|Macquarie Broadcasting Network
Macquarie Telecom Hosting|Macquarie Telecom
U@MQ|Macquarie University Students' Council
Macrogen, Inc.|Macrogen Corporation
Macromedia, Inc|Macromedia
Federated Department Stores Incorporated|Federated Department Stores, Inc
R. H. Macy & Co.|Macy's
MadBid|Madbid
Madcap Software|MadCap Flare
Mad Catz|Mad Catz Interactive, Inc.
Mad science|Mad Science
Madam Alexander|Madam alexander
Madara cosmetics|Madara Cosmetics
Made In Oregon|Made in Oregon
Madfinger Games|Madfinger Games a.s.
Madhouse Studio|Madhouse Studios
Madhya Gujarat Vij|MGVCL
MPPGCL|M.P. Power Generation Company Limited
Madison Communications|Madison communications
Madison Dearborn Partners|Madison Dearborn
Madison Gas and Electric|Madison Gas & Electric
The Madison World|Madison Media Group
Madman Entertainment|Madman.com.au
Madras Export Processing Zone|MEPZ
Madras Fertilizers Limited|Madras Fertilizers
S.E.L Maduro & Sons|Maduro Holding B.V.
Madagascar chocolate|Madecasse
Maeda Kensetsu|Maeda Corporation
A.P.Moller-Maersk Group|A.P. Moller - Maersk
Maersk Line|Maersk Sealand
Maersk Oil Qatar AS|Maersk Oil
MagCloud|Magcloud
MAG Garden Corporation|Mag Garden
Magang Group|Magang  Holding Company Limited
Magazine Management Co.|Magazine Management Company
Magellan Aerospace|Magellan Aerospace Corporation
Magellan Health|Magellan Health Inc.
Magellan Navigation|Thales Naval
Red Star of David|International Volunteers Program of Magen David Adom
Maggiano's|Maggiano's Little Italy
Miss Maggie Moo|MaggieMoo's
Ireland Magic Company|Magic, Inc.
Magic Brands, LLC|Magic Brands
Kabushiki Kaishi Magic Bus|Magic Bus
Magic Hat Brewing Company|Magic hat 9
Magic pixel games|Magic Pixel Games
IBOLT|Magic Software Enterprises
Magic Solutions|Magic Solutions International
Magic Storm Entertainment|The Annihilator
Magical Company|Home Data
Iveco Magirus|Magirus-Deutz
Magix|MAGIX
Magma Fincorp Limited|Magma Fincorp
Magmic Inc.|Magmic Games
Magna International, Inc.|Magna Closures
Magna Publishing Group|Magna Publishing Group Inc.
Magna Steyr|Magna-Steyr
Magnasound|Magnasound Records
Magnavox Electronics Systems|Magnavox Electronic Systems
Magnet Trade|Magnet Kitchens
Magnetar Trade|The Magnetar Trade
MagneTek Inc.|Magnetek, Inc.
Magneti Marelli S.p.A.|Marelli
Magnex scientific|Magnex Scientific
Magnifi Group, Inc|Magnifi Group, Inc.
OJSC Magnit|Magnit
OJSC Magnitogorsk Iron and Steel Works|Magnitogorsk Iron and Steel Works
Magnet Releasing|Magnolia Pictures
Magnon Solutions|Magnon\\TBWA
Magnox Ltd|Magnox Electric
Magnum Research, Inc.|Magnum Research
Magnusson Klemencic Associates|Magnusson klemencic associates
Magoxy Infra|Magoxy Infra Pvt Ltd
Magpul|Magpul Industries
Magti|Magtifix
Magyar Telekom Ltd.|Hungarian Telecom
Mahaka media|Mahaka Media
Mahanagar Telephone Mauritius Limited|MTML
Mtnl.net.in|M.T.N.L.
Maharashtra Knowledge Corporation|Maharashtra State Certificate in Information Technology
MSEB|Maharashtra State Distribution Co. Ltd
Maharashtra State electricity Distribution Company Ltd|Mahavitaran
Mahatransco|Maharashtra State Electricity Transmission Company Limited
Maharashtra State Power Generation Co.|Maharashtra State Power Generation Company
Maharashtra State Road Development Corporation|MSRDC
Mahindra and Mahindra|Mahindra Automative and Farm Equipment Sectors
%22Mahindra Finance%22|Mahindra & Mahindra Financial Services Limited
Mahindra Comviva|Comviva
Mahindra Group|Mahindra Towers
MGTL|Mahindra Group
Satyam Computer Services Ltd.|Satyam Computer Services
Mahindra Truck and Bus Division|Mahindra Navistar
Mahindra Two Wheelers|Mahindra Two Wheelers Limited
MAHLE GmbH|Mahle GmbH
Mahou-San Miguel|Grupo Mahou-San Miguel
Maid-Rite Corporation|Maid-Rite Restaurants
Maid Brigade|Minimaid Canada
Mailchimp|MailChimp
Mailboxes Etc.|Mail Boxes Etc.
Mailman group|Mailman Group
MainConcept GmbH|MainConcept
MainPower|Mainpower
MAINSOURCE FINANCIAL GROUP|1st Independence Financial Group
Main Frame India|Main Frame Software Communications
MOO Milk|Maine's Own Organic Milk Company
MaineToday|Blethen Maine Newspapers
Mainframe Studios|Mainframe Films
Mainfreight Limited|Mainfreight
Maingear, Inc.|Maingear
Mainichi Broadcasting System|JOOR
Mainostoimisto VwD|Mainostoimisto VwD, Inc.
Mainzeal|Mainzeal Property & Construction
Maison blanche|Maison Blanche
Maison Devambez|Devambez
Maison Louis Latour|Louis Latour
Maison Martin Margiela|Maison Margiela
Maitland group|Maitland Group
Majesco|Majesco Inc
Marker Man Adventures|Majesco Games
Majestic Realty Co.|Majestic realty co.
Majestic Wine|Majestic Wine plc
Majid Al Futtaim Holding|Majid Al Futtaim Group
EGV|Major Cineplex Group
Major Drilling Group International|Major Drilling Group International Inc.
Major League Baseball Advance Media|MLB Advanced Media
MLPLIVE|Mlplive1
Maju Holdings Berhad|Maju Holdings
MakeMyTrip|Makemytrip
Makedonski Telekom AD|Maktel
Makelan Corp|Makelan Corporation
Makerbot Cupcake|MakerBot
Maker Studios Inc.|Polaris Network
Makino|LeBlond
Makita Corporation|Makita
Maktoob|Yahoo! Maktoob
Malaguti phantom|Malaguti, SpA
Malaysia Airports Holdings|Malaysia Airports
Malaysian Marine and Heavy Engineering|MMHE
Malaysian Electronic Payment System|MEPS ATM
Malaysian Nature Society|Malayan Nature Society
Malaysian Re|MNRB Holdings
Malaysian Red Crescent|Malaysian Red Crescent Society
Malco Theatres|Malco Theatres, Inc.
Malcolm Group|W. H. Malcolm
Maldives Industrial Fisheries Company|MIFCO
Malfador|Malfador Machinations
Malibu Comics|Malibu Comics Entertainment Inc.
Msss|Malin Space Science Systems
Malley's Chocolates|Malley's
Mallinckrodt Incorporated|Mallinckrodt PLC
Malmaison Trading Ltd.|Malmaison hotels
Malpaso Company|Malpaso Productions
Malta Post|MaltaPost
PCD Maltron Ltd.|Maltron
Malvern House College|Malvern House London
MalwareBytes|Malwarebytes
Mamas & Papas|Mamas and Papas
Mamee-Double Decker|Mamee Double Decker BHD
Mamiya|Mamiya 654
Mammoth Brewing Company|Mammoth Brewing
Mammoth Resource Partners, Inc.|Mammoth Resource Partners
Mammoth Screen|Mammoth Screen Ltd
Man's Ruin Records|Man's Ruin
ManTech International 'A'|ManTech International Corp.
Man Investments|Man Group
Man Luen Choon Chinese Cultural and Art Supplies|Man Luen Choon
Performance Solutions Technology, LLC|ManagePro
Managem Group|Managem
Management College of Southern Africa|Management College of Southern Africa .
Management Training Corp|Management and Training Corporation
Career Tools Podcast|Manager Tools LLC.
Manchester, Sheffield and Lincolnshire Railway|MS&LR
Manchester Airport Group|Manchester Airports Group
Manchester Carriage and Tramways Company|Manchester Carriage & Tramways Company
Manchester Liners Ltd|Manchester Liners
Manchester and Bolton Railway|Manchester, Bolton and Bury Railway
Manchester and Leeds Railway Company|Manchester and Leeds Railway
Pedda Annayya|Manchu Entertainment Private Limited
Manchu WOK|Manchu Wok
Mandalay pictures|Mandalay Vision
CIRCO Resorts|Circus Circus Enterprises
Mandarin Films Ltd.|Mandarin Films Distribution Co. Ltd.
Mandarin Oriental, Boston|Mandarin Oriental Hotel
Mandarin Restaurant|Mandarin Buffet
Grindstone Entertainment Group|Senator International
Mandeville Films|Mandeville Films & Television
APT1|Red Cliff Consulting
Mandom Corporation|Kintsuru Perfume Corporation
Mandriva|Transfugdrake
Manga.com|Manga Entertainment, LLC
Mangalore Chemicals and Fertilizers|Mangalore Chemicals & Fertilizers
Mangalore Refineries and Petrochemicals Limited|MRPL
Manglobe|Manglobe INC.
CityArts|Manhattan Media
Manhattan special|Manhattan Special
Manheim, Inc.|Manheim Auctions
Manic D. Press|Manic D Press
Metamorphose temps de fille|Manifesteange Metamorphose temps de fille
Manila Broadcasting Company, Inc.|Hot FM 91.1
Manila water|Manila Water
Manion's International Auction House, Inc.|Manions
Manipal Hospitals|Manipal Hospital
Manis FM Corporation|Manis FM
Manashevitz|Manaschevitz
The Manitoba Hydro-Electric Board|Manitoba Hydro Act
Manitoba Public Insurance Corporation|The Manitoba Public Insurance Corporation
Mtsallstream.net|MTS Mobility
Manjul Publishing House Pvt. Ltd.|Manjul Publishing House
Mankind Pharma Limited|Mankind Pharma
Manley & Associates|Manley and Associates
MannKind Corporation|Mannkind
Mann, Egerton & Company Ltd.|Mann Egerton
Mannan Life|MannanLife
Mannatech Inc.|Glyconutrients
Mannvit|Mannvit Engineering
Mano Maritime Ltd|Mano Maritime
Manpower Professional|Manpowergroup
MAN Roland|Manroland
Mansion  Limited|Mansion.com
Mantarraya Productions|Mantarraya Producctions
MAS-48|Manufacture de Saint-Etienne
Manufacturers Alliance for Productivity and Innovation|MAPI
Manufacturers Hanover Corporation|Manufacturer's Hanover
Manufacturers Mutual Insurance|Manufacturers Mutual
Manugistics Group|Manugistics
Manulife Financial|Manulife Financial Corp.
Manx2|Manx2.com
Isle of Man Electricity Board|Manx Electricity Authority
Manx line|Manx Line
Manx Telecom|Manx Pronto
Manyata Embassy Business Park|Manyata Tech Park
Manz|Manz Automation
Maoye International Holdings|Maoye International Holdings Limited
MapCore|Mapcore
MapBox|Mapbox
M4 Solutions|Mapcom Systems
UK01|Mcom
Mapex Drums|Mapex
MAPFRE|Mapfre, S.A.
Middlesea Insurance p.l.c.|Middlesea Insurance
Canada Packers|Maple Leaf Foods, Inc.
Maple Leafs Sports & Entertainment|Maple Leaf Sports and Entertainment
Maple Pictures|Maple pictures
Maples & Calder|Maples and Calder
Maplin Electronics|Maplins Electronics
Mapna Locomotive Engineering and Manufacturing Company|MLC
Mapp biopharmaceutical|Mapp Pharmaceutical
MAQUET|Maquet
MarVista Entertainment|Mar Vista Entertainment
MARAIS|Marais
Marantz Japan|Saul B. Marantz
Marathon Capital|Marathon Capital, LLC
Marathon Productions, S.A.|Marathon media group
Marathon Oil Corp|Marathon Oil Corp.
Marathon Ashland Petroleum, LLC|Marathon Petroleum Corp
Marathon Technologies|Marathon Technologies Corp.
Marayo Bank, Inc.|Marayo Bank
Marbella Parapente SL|Marbella Paragliders
Marble Slab|Marble Slab Creamery, Inc.
Marc's|Bernie Shulman's
Marc Dorcel|Video Marc Dorcel
marchFIRST, Inc.|MarchFirst
Marcher Group|Marcher Radio Group
Marciano clothing line|Marciano Stores
Marcos Pizza|Marco's pizza
Marco Polo Hotels Group|Marco Polo Hotels
Marconi Communications|Marconi plc
Marconi Wireless Telegraph Co|Marconi Labs
Marconi Electronic Systems Limited|Marconi Electronic Systems
Marcopolo S. A.|Marcopolo SA
Marcos Engineering|Marcos Engineering Ltd.
Marcus & Millichap, Inc.|Marcus & Millichap
Marcus Corporation|Marcus Hotels and Resorts
Mareco Broadcasting Network|DWBM-TV
Marel hf|Marel
Marex Spectron|MAREX Financial Limited
Marfin Investment Group|Polyiatreio Dytikis Athinas
Keystone Foods|Marfrig Group
Margaret Weis Productions, Ltd|Margaret Weis Productions
Margarete Steiff GmbH|Margarete steiff
Marginal Revolution University|MRUniversity
Mari Petroleum Company Limited|Mari Gas Company Limited
Marico Limited|Marico Ltd
Marie Brizard et Roger International|Marie Brizard
Marigul Management Inc.|Marigul Management, Inc.
Unikko|Marimekko
Marin Bikes|Marin Bikes.
Marin French Cheese Company|Marin French Cheese
Marin Software Incorporated|Marin Software
Port Aux Basques to North Sydney Ferry|Port Aux Basques to Sydney Ferry
Marine Current Turbines Ltd|Skerries Tidal Stream Array
Pan Fish|Marine Harvest ASA
Marine Industries Ltd.|Marine Industries Limited
Marine Midland Banks Inc|Marine Midland Bank
MT Ukerewe|ML Maindi
Mariner Software|Mariner Software, Inc.
Marinscope|Ross Valley Reporter
Marinship|Marinship Corporation
Marios Pizzeria Limited|Mario's Pizzeria
Merrell Dow Pharmaceuticals|Marion Laboratoies
Marion Steam Shovel|Marion Power Shovel
Maritime Broadband|Maritime broadband
Maritime Broadcasting Limited|The Maritime Broadcasting System
Nel Lines|NEL Lines
Maritime Industrial Services Co. Ltd. Inc.|Maritime Industrial Services
Maritime Life Assurance Company|Maritime Life
Marjan TV corporation|Marjan Television Network
Mark's Work Wearhouse|Marks Work Warehouse
MarkMail|Mark logic
MarkMonitor Inc.|MarkMonitor
MarkWest Energy Partners LP|MarkWest Energy
Francis foy|Mark Foy's
Mark Group|Mark Group Limited
Mark of the Unicorn|Mark of the unicorn
Kuwait Financial Centre \|Markaz
Market of Choice|Wright's Foodliner, Inc.
Marketwired|CCNMatthews
Markit Ltd.|Markit Group Limited
Markosia Enterprises|Markosia Comics
M&S|Your M&S
Marlin Firearms|Marlin rifle
Marlow industries|II-VI Marlow Industries
Marmon Group|The Marmon Group
Marmon automoblie|Marmon Automoblie
Itissalat Al Maghreb|Itissalat Al Maghrib
Maroma a unit of Aravinda Trust|Maroma
Marotta Controls Incorporated|Marotta Scientific
Curtis E. McCall|Curtis McCall
Marquette automobile|Buick marquette
Marratech AB|Marratech.com
Aruba Marriott Resort|Marriott Hotels
Marriott International Inc Class A|Marriott International
Marriott Vacation Club|Marriott Vacation Club International
Mars Petcare|Mars, Inc
MARS Grocery Chain|Mars Supermarkets
Mars Canada Limited|Effem
Mars Entertainment|Cinemaximum
Marsa Maroc|trading as:
Marsh & McLennan Companies|Marsh Brokers
Marsh Supermarkets, Inc.|Marsh Supermarket
Marshall, Sons & Co|Marshall Sons & Co.
M&I Bank|Marshall & Ilsley Corporation
Marshall of Cambridge|Marshall Aerospace
Marshall stack|Marshall Amplifiers
Marshall Field & Company|Marshall Field & Co.
Marshall wace|Marshall Wace
Marshalls|Marshalls Inc.
Marshalltown Company|Marshalltown company
Marshfield Clinic|Marshfield Clinic Biomedical Informatics Research Center
Marske Aircraft|Marske Aircraft Corporation
Marstel-Day|Marstel-Day, LLC
Marston's Inns and Taverns|Marston's plc
Martech Games|Martech
Martela Heikki|Martela
Martex|Martex Farms
Martha Stewart Living Omnimedia, Inc.|Martha Stewart Media
Martifer Renewables Electricity|Martifer SGPS, S.A.
Martin-Baker Space Systems|Martin-Baker
Martin-Logan|Martin Logan
Martin and King|Martin & King
Martin & Vleminckx|Martin & Vleminckx Rides, LLC
Martin Bencher  A/S|Martin Bencher
Martin Marietta Corporation|Martin-Marietta
Martin Marietta Materials|Martin Marietta Materials, Inc.
Martin Light|Martin Entertainment
Martin Williams Advertising, Inc.|Martin Williams Advertising
Martini & Rossi|Martini and Rossi
Martinrea International|Martinrea
Martins Bank Limited|Martins Bank
Fadesa Immobiliaria|Martinsa-Fadesa
Martinsyde|Martynside
M. Nijhoff|Martinus Nijhoff Publishers
Marubeni Group|Marubeni Corporation
Marucci Bat Company|Marucci Sports
Maruchan|Maruchan Ramen
Maruha Nichiro Corporation|PeterPan Seafoods
Marukai|Marukai Corporation U.S.A., Inc.
Maruti Udyog Limited|Maruti Suzuki
MLG Productions 6|MLG Productions 7
Marvel Entertainment|Marvel Enterprises, Ltd.
